year;object_level;object_name;okato;oktmo;subsidies_for_equalizing;subventions;other_transfers;indicator_unit
2021;регион;Ханты-Мансийский автономный округ — Югра;71100000;71800000;;22412660.1;4810746.4;тысяча рублей
2021;регион;Челябинская область;75000000;75000000;6941469.9;66815934.6;29617635.2;тысяча рублей
2021;регион;Ямало-Ненецкий автономный округ;71140000;71900000;;5916430.8;1503180.6;тысяча рублей
2021;федеральный округ;Центральный федеральный округ;00000000;00000000;79626635.5;699661247.4;282415333.4;тысяча рублей
2021;регион;Белгородская область;14000000;14000000;996957.0;31658467.0;8324547.0;тысяча рублей
2021;регион;Брянская область;15000000;15000000;13382003.4;46354115.2;48886335.0;тысяча рублей
2021;регион;Владимирская область;17000000;17000000;6134292.2;34679736.3;18105756.6;тысяча рублей
2021;регион;Воронежская область;20000000;20000000;7974041.1;60972277.8;27836835.2;тысяча рублей
2021;регион;Москва;45000000;45000000;;88587247.0;10332682.0;тысяча рублей
2021;регион;Ивановская область;24000000;24000000;12917549.0;35048115.8;29190106.8;тысяча рублей
2021;регион;Калужская область;29000000;29000000;;22509514.1;2161270.8;тысяча рублей
2021;регион;Костромская область;34000000;34000000;3634205.4;18985391.6;10068023.2;тысяча рублей
2021;регион;Курская область;38000000;38000000;3664697.2;26205361.1;15247304.4;тысяча рублей
2021;регион;Липецкая область;42000000;42000000;949959.4;24789270.7;7038808.0;тысяча рублей
2021;регион;Московская область;46000000;46000000;;95563827.3;11205001.2;тысяча рублей
2021;регион;Орловская область;54000000;54000000;5987895.0;25856485.9;16194123.0;тысяча рублей
2021;регион;Рязанская область;61000000;61000000;4342834.0;33078665.3;14188237.8;тысяча рублей
2021;регион;Смоленская область;66000000;66000000;3474713.0;21189166.2;10993383.2;тысяча рублей
2021;регион;Тамбовская область;68000000;68000000;9522931.2;34000043.7;23789850.0;тысяча рублей
2021;регион;Тверская область;28000000;28000000;4720516.3;34373157.7;15897803.2;тысяча рублей
2021;регион;Тульская область;70000000;70000000;1220516.2;37286867.6;8144388.4;тысяча рублей
2021;регион;Ярославская область;78000000;78000000;703525.1;28523537.1;4810877.6;тысяча рублей
2021;федеральный округ;Южный федеральный округ;00000000;00000000;70907280.5;527296803.8;208739723.6;тысяча рублей
2021;регион;Астраханская область;12000000;12000000;2501199.8;28406807.2;9103358.6;тысяча рублей
2021;регион;Волгоградская область;18000000;18000000;9811006.5;69803571.7;28187081.4;тысяча рублей
2021;регион;Краснодарский край;03000000;03000000;10710526.5;113706460.5;41928600.2;тысяча рублей
2021;регион;Республика Адыгея;79000000;79000000;4504223.1;19206664.9;11111246.6;тысяча рублей
2021;регион;Республика Калмыкия;85000000;85000000;3733383.4;14191263.9;11067188.8;тысяча рублей
2021;регион;Ростовская область;60000000;60000000;14994005.3;92151416.2;48253644.8;тысяча рублей
2020;страна;Российская Федерация;00000000;00000000;717866344.6;3424847082.6;709938502.6;тысяча рублей
2020;федеральный округ;Дальневосточный федеральный округ;00000000;00000000;165922652.9;422967129.4;117793411.6;тысяча рублей
2020;регион;Амурская область;10000000;10000000;3977019.3;26066241.1;9539449.2;тысяча рублей
2020;регион;Еврейская автономная область;99000000;99000000;1974804.9;7640978.9;1876657.2;тысяча рублей
2020;регион;Забайкальский край;76000000;76000000;12352857.3;43056353.1;13935684.0;тысяча рублей
2020;регион;Камчатский край;30000000;30000000;41128793.6;56177888.0;10084877.2;тысяча рублей
2020;регион;Магаданская область;44000000;44000000;4492566.1;13923150.1;2238973.4;тысяча рублей
2020;регион;Приморский край;05000000;05000000;9097061.3;52779895.3;18345048.4;тысяча рублей
2020;регион;Республика Бурятия;81000000;81000000;21862377.9;57547766.4;13743622.0;тысяча рублей
2020;регион;Республика Саха (Якутия);98000000;98000000;51597946.8;94560606.8;13518528.0;тысяча рублей
2020;регион;Сахалинская область;64000000;64000000;;8929924.4;11277988.8;тысяча рублей
2020;регион;Хабаровский край;08000000;08000000;7075048.8;42579100.4;15037721.2;тысяча рублей
