Region,Year,male_pop1559,male_pop1549,ExcessByAge,TotalExcess_15_49,TotalExcess_15_59,ex_per100k_1549,ex_per100k_1559,Excessive Marriages,ex_nup_per100k
Кабардино-Балкария,2022,269421.0,216092.0,"[np.float64(-37.1599999999994), np.float64(37.99019607843093), np.float64(81.52403846153447), np.float64(-120.91000000000156), np.float64(19.792222222222307), np.float64(24.35381774351515), np.float64(17.30182558490111), np.float64(-192.25912636574776), np.float64(35.87988956698666)]",22.89210009060301,-133.4871367081581,10.593682362421102,-49.54592875394201,-90.20000000000005,-41.74148048053609
Кабардино-Балкария,2023,267734.0,215561.0,"[np.float64(-43.19999999999936), np.float64(43.231862745097715), np.float64(101.95817307692414), np.float64(-130.0882352941196), np.float64(20.490416666666846), np.float64(33.12439975119901), np.float64(27.25735266007308), np.float64(-211.2264321818825), np.float64(42.574934612031825)]",52.77396960584181,-115.87752796400886,24.482151041163206,-43.280841418724876,-90.20000000000005,-41.84430393252956
Калининградская область,2022,309364.0,246670.0,"[np.float64(7.302380952380986), np.float64(-72.66769230769205), np.float64(59.144511434510605), np.float64(40.968762080381566), np.float64(4.9668897082759145), np.float64(30.621010157776652), np.float64(87.34224786324796), np.float64(25.65676326754948), np.float64(-129.77730966713284)]",157.67810988888164,53.557563489298275,63.92269424286766,17.312151216462897,1602.4,649.6128430696883
Калининградская область,2023,308110.0,245309.0,"[np.float64(7.5690476190476375), np.float64(-82.88197802197647), np.float64(65.02285602910433), np.float64(54.88196341582443), np.float64(7.80263654236191), np.float64(25.339353733766757), np.float64(88.31077564102549), np.float64(27.988819992047866), np.float64(-151.1261924167186)]",166.0446549591541,42.90728253448336,67.68795884339917,13.925962329844326,1602.4,653.2169630955244
Калужская область,2022,324498.0,259073.0,"[np.float64(-22.06794871794932), np.float64(-1.903846153846196), np.float64(12.52910087719269), np.float64(-80.09521932199158), np.float64(112.96610564301955), np.float64(191.85839103691796), np.float64(215.5219278990303), np.float64(74.35186196178006), np.float64(203.75445135819325)]",428.8085112623734,706.9148245823467,165.51648039833304,217.84874624261064,477.80000000000007,184.42678318466227
Калужская область,2023,320917.0,256238.0,"[np.float64(-25.653205128206082), np.float64(-1.6929487179487452), np.float64(11.229671052631204), np.float64(-84.73977924482728), np.float64(129.54446906447157), np.float64(228.30878851472835), np.float64(249.55577461432313), np.float64(90.14656443259491), np.float64(231.94985753051787)]",506.55277015517214,828.6491921182849,197.68838741918535,258.21293110626266,477.80000000000007,186.46726871112017
Камчатский край,2022,94302.0,75416.0,"[np.float64(18.280000000000655), np.float64(-16.53333333333336), np.float64(45.764705882353155), np.float64(47.14436647173494), np.float64(-37.85756592292091), np.float64(3.7376503033646884), np.float64(-23.53901875901849), np.float64(-25.486816114359556), np.float64(2.6617848817854224)]",36.99680464218068,14.171773409606544,49.05697019489323,15.028073009699204,465.20000000000005,616.8452317810545
Камчатский край,2023,91495.0,72965.0,"[np.float64(22.73999999999978), np.float64(-17.333333333333485), np.float64(54.4247058823521), np.float64(48.686208576997785), np.float64(-39.14558485463152), np.float64(3.142305570877099), np.float64(-26.619422799422694), np.float64(-29.83371020142897), np.float64(-1.012624042624111)]",45.894879042839065,15.048544798785983,62.89985478357988,16.44739581265204,465.20000000000005,637.5659562804085
Карачаево-Черкесия,2022,136311.0,109484.0,"[np.float64(-8.583333333333343), np.float64(-24.500000000000455), np.float64(20.31111111111113), np.float64(-7.46060606060621), np.float64(-64.24703279939126), np.float64(-57.24192982456202), np.float64(24.394213152531847), np.float64(-91.53920102354004), np.float64(-6.004204376216762)]",-117.32757775425031,-214.87098315400712,-107.16413152081611,-157.632900612575,219.4,200.39457820320777
Карачаево-Черкесия,2023,136443.0,110062.0,"[np.float64(-8.924999999999983), np.float64(-26.845000000000027), np.float64(19.79444444444448), np.float64(-5.116666666666561), np.float64(-72.13321128909456), np.float64(-66.11842105263099), np.float64(27.960715070408696), np.float64(-102.37064831359339), np.float64(-10.087303814869074)]",-131.38313949353895,-243.84109162200141,-119.37193535783372,-178.71278967920773,219.4,199.34218894804746
