,Region,year,total,drafted,pmc,volunteers,prisoners,contract,slavic,non_slavic,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs,Excessive Marriages,ex_nup_per100k
98,Красноярский край,2025,55,0,0,24,0,18,51,4,,,,,,,,,,,,,,,2503.2,370.25532707958
99,Курганская область,2022,154,0,7,30,29,59,134,20,76372.22,16294.9409,1.6531641659446878,21.336214791189786,772300.0,0.6399067719798006,75.2,6.5,22574.1,22282.0,28401.0,17.0,93.4,93.88,606.8,391.50912962126586
100,Курганская область,2023,240,29,12,52,84,16,218,22,83628.77,19499.7621,1.6579054307982084,23.3170499817228,761600.0,0.6420693277310924,,,,,,,93.4,93.88,606.8,391.50912962126586
101,Курганская область,2024,364,26,0,81,20,32,332,32,67593.07,21521.2435,2.15157022922424,31.83942303552716,,,,,,,,,93.4,93.88,606.8,391.50912962126586
102,Курганская область,2025,38,0,0,15,0,0,35,3,,,,,,,,,,,,,,,606.8,391.50912962126586
103,Курская область,2022,212,15,16,37,52,65,200,12,119331.73,7027.0908,0.7129166514129296,5.888702694580896,1078200.0,0.6846596178816546,63.0,3.0,30339.6,28917.0,37632.0,8.1,95.93,96.62,549.0000000000001,236.5757279336037
104,Курская область,2023,258,107,7,53,54,29,250,8,123017.45,7715.5407,0.6559893788691201,6.271907522062928,1067000.0,0.6848172446110591,,,,,,,95.93,96.62,549.0000000000001,236.5757279336037
105,Курская область,2024,236,13,0,100,8,29,227,9,101939.52,3109.6616,0.3108860936182343,3.050496608184932,,,,,,,,,95.93,96.62,549.0000000000001,236.5757279336037
106,Курская область,2025,16,0,0,0,0,8,14,2,,,,,,,,,,,,,,,549.0000000000001,236.5757279336037
107,ЛНР,2022,12,0,0,0,0,7,11,1,,,,,,,,,,,,,,,,
108,ЛНР,2023,37,7,8,7,5,4,36,1,,,,,,,,,,,,,,,,
109,ЛНР,2024,40,0,0,13,0,3,40,0,,,,,,,,,,,,,,,,
110,ЛНР,2025,14,0,2,7,0,5,12,2,,,,,,,,,,,,,,,,
111,Ленинградская область,2022,137,15,22,32,37,23,127,10,239233.16,2736.4555,0.2776205327815735,1.1438445656948226,2006000.0,0.6714356929212363,31.5,3.3,33571.5,32789.0,38963.0,7.0,93.73,94.89,1522.6,299.45148417878977
112,Ленинградская область,2023,349,50,19,69,64,26,327,22,306088.02,2812.6883,0.2391399025177122,0.9189148598497908,2023800.0,0.6706690384425339,,,,,,,93.73,94.89,1522.6,299.45148417878977
113,Ленинградская область,2024,356,46,0,184,15,36,334,22,237415.34,483.8011,0.0483676532736567,0.2037783657955716,,,,,,,,,93.73,94.89,1522.6,299.45148417878977
114,Ленинградская область,2025,75,4,0,7,0,30,70,5,,,,,,,,,,,,,,,1522.6,299.45148417878977
