,year,Region,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs
15,2019,Калининградская область,131473.95,7115.2908,0.90459856093514,5.411939627584019,1004500.0,0.7690393230462916,42.3,4.4,23497.0,23929.0,29098.0,13.5,91.3,93.99
16,2019,Калужская область,84430.67,3089.4011,0.39276930033716095,3.6590981689473745,1053400.0,0.7544142775773683,71.2,3.7,25225.1,25083.0,31417.0,10.2,90.35,91.44
17,2019,Камчатский край,92765.85,4880.6075,0.620493335421969,5.261211426403143,299900.0,0.7782594198066023,40.6,3.8,41713.2,35460.0,52674.0,14.9,88.3,90.01
18,2019,Карачаево-Черкесия,30341.739999999998,2295.6815,0.2918601979367341,7.5660838831260175,469900.0,0.4166844009363695,61.4,11.7,15605.0,11988.0,18977.0,23.3,27.55,27.75
19,2019,Кемеровская область,194173.4,18881.341,2.4004688462101447,9.723958585470513,2665300.0,0.8635425655648519,48.8,5.5,20302.4,18888.0,24890.0,13.6,95.28,95.66
20,2019,Кировская область,72111.44,9700.8464,1.2333117422681914,13.452576179313574,1209600.0,0.7680224867724869,78.6,4.8,19571.8,19417.0,23684.0,14.6,92.78,93.14
21,2019,Костромская область,41926.13,14653.915,1.8630173795659712,34.95174727550576,605700.0,0.7264322271751692,55.9,4.1,20975.8,20835.0,25318.0,12.6,96.11,96.71
22,2019,Краснодарский край,366573.11,22228.5248,2.826011207551921,6.063872170001776,5753799.999999999,0.5596822969168203,65.6,4.8,27723.6,33888.0,36604.0,10.4,92.34,92.98
23,2019,Красноярский край,327846.28,21449.1653,2.7269277685235216,6.542445837726143,2879200.0,0.7876146151708808,57.8,4.5,24536.0,25103.0,31755.0,17.3,93.64,94.21
24,2019,Курганская область,54445.59,8907.5005,1.1324501500105997,16.36037096852105,810500.0,0.6313386798272671,74.2,7.8,17345.5,17075.0,21304.0,19.6,93.4,93.88
25,2019,Курская область,76576.02,6123.610900000001,0.7785218852709066,7.9967735330198675,1103200.0,0.6795685279187818,79.1,4.0,23265.0,23024.0,29149.0,9.9,95.93,96.62
26,2019,Ленинградская область,176311.06,2402.7639,0.3054740596416529,1.3627981704607752,1913500.0,0.6379932061667102,39.9,3.9,26163.6,25900.0,32371.0,8.8,93.73,94.89
27,2019,Липецкая область,75943.2,8552.3569,1.0872991648273485,11.261517686902845,1162000.0,0.6345094664371772,51.2,3.7,25104.3,26914.0,32535.0,8.6,96.68,97.14
28,2019,Магаданская область,43496.56,1775.0164,0.22566572838825824,4.080820184400789,139900.0,0.9628305932809148,56.8,4.6,50666.4,36880.0,65367.0,9.3,87.71,90.68
29,2019,Москва,2641504.61,7376.1475,0.9377624332297607,0.27924037959562753,12827700.0,1.0,43.4,1.4,56156.2,58945.0,75891.0,6.4,90.21,90.97
30,2019,Московская область,739341.86,7880.642900000001,1.0019011769109603,1.0658997314178857,8233200.000000001,0.7921099936841082,46.0,2.7,36508.2,38285.0,47513.0,7.3,92.14,93.07
31,2019,Мурманская область,101783.91,10428.8078,1.3258607122774468,10.246027883974982,704000.0,0.9296875,41.8,5.4,36499.2,32534.0,44261.0,10.6,89.93,93.05
32,2019,Ненецкий АО,0.0,455.6449,0.057928162379173004,inf,41600.0,0.7283653846153846,-77777777.0,7.9,58224.4,31772.0,81041.0,9.4,69.57,71.29
33,2019,Нижегородская область,214459.88999999998,18349.5892,2.332864875188374,8.556186986760087,3189100.0,0.7957103885108652,67.5,4.1,26068.0,27804.0,33874.0,9.5,95.21,95.52
34,2019,Новгородская область,42453.2,7643.9209,0.9718056563537839,18.005523494106455,597000.0,0.7217755443886097,50.3,3.6,21575.6,23366.0,26193.0,13.8,95.43,96.29
35,2019,Новосибирская область,196660.6,15528.1322,1.974160499825335,7.895904009242319,2805800.0,0.7935348207284909,62.2,6.1,24064.4,23973.0,30566.0,13.9,94.15,94.63
36,2019,Омская область,111954.55,27873.924899999998,3.5437360272266267,24.89753645564204,1923600.0,0.7314930338947806,59.7,6.4,21119.9,22682.0,26970.0,13.9,88.71,89.94
